,FarmID,Plant_ID,incidence_b_cinerea,SampleDate,Pommaison_lettuce_date,cote_b_lactucae,incidence_sclerotinia
290,2,22,0,244,236,1,0
291,2,23,0,244,236,1,0
292,2,24,0,244,236,1,0
293,2,25,0,244,236,1,0
419,3,1,0,250,236,3,0
420,3,2,0,250,236,4,0
421,3,3,0,250,236,3,0
422,3,4,0,250,236,4,0
423,3,5,0,250,236,4,0
424,3,6,0,250,236,4,0
425,3,7,0,250,236,4,0
426,3,8,0,250,236,4,0
427,3,9,0,250,236,4,0
428,3,10,0,250,236,4,0
429,3,11,0,250,236,4,0
430,3,12,0,250,236,4,0
431,3,13,0,250,236,4,0
432,3,14,0,250,236,4,0
433,3,15,0,250,236,4,0
434,3,16,0,250,236,4,0
435,3,17,0,250,236,4,0
436,3,18,0,250,236,4,0
437,3,19,0,250,236,4,0
438,3,20,0,250,236,4,0
439,3,21,0,250,236,4,0
440,3,22,0,250,236,4,0
441,3,23,0,250,236,4,0
442,3,24,0,250,236,3,0
443,3,25,0,250,236,4,0
294,2,1,0,251,236,2,0
295,2,2,0,251,236,2,0
296,2,3,0,251,236,2,0
297,2,4,0,251,236,2,0
298,2,5,0,251,236,2,0
299,2,6,0,251,236,3,0
300,2,7,0,251,236,4,0
301,2,8,0,251,236,4,0
302,2,9,0,251,236,2,0
303,2,10,0,251,236,1,0
304,2,11,0,251,236,1,0
305,2,12,0,251,236,3,0
306,2,13,0,251,236,2,0
307,2,14,0,251,236,1,0
308,2,15,0,251,236,1,0
309,2,16,0,251,236,2,0
310,2,17,0,251,236,1,0
311,2,18,0,251,236,1,0
312,2,19,0,251,236,3,0
313,2,20,0,251,236,3,0
314,2,21,0,251,236,2,0
315,2,22,0,251,236,1,0
316,2,23,0,251,236,1,0
317,2,24,0,251,236,1,0
318,2,25,0,251,236,2,0
444,3,1,0,259,236,0,0
445,3,2,0,259,236,1,0
446,3,3,0,259,236,0,0
447,3,4,0,259,236,0,0
448,3,5,0,259,236,1,0
449,3,6,0,259,236,1,0
450,3,7,0,259,236,1,0
451,3,8,0,259,236,1,0
452,3,9,0,259,236,0,0
453,3,10,0,259,236,1,0
454,3,11,0,259,236,1,0
455,3,12,0,259,236,2,0
456,3,13,0,259,236,2,0
457,3,14,0,259,236,1,0
458,3,15,0,259,236,0,1
459,3,16,0,259,236,1,0
460,3,17,0,259,236,0,0
461,3,18,0,259,236,2,1
462,3,19,0,259,236,0,0
463,3,20,0,259,236,0,0
464,3,21,0,259,236,0,1
465,3,22,0,259,236,0,0
466,3,23,0,259,236,2,0
467,3,24,0,259,236,2,0
468,3,25,0,259,236,1,0
518,0,1,0,260,0,1,0
519,0,2,0,260,0,1,0
520,0,3,0,260,0,2,1
521,0,5,0,260,0,2,0
522,0,6,0,260,0,2,0
523,0,7,0,260,0,2,0
524,0,8,0,260,0,1,0
525,0,9,0,260,0,1,0
526,0,10,0,260,0,2,0
527,0,11,0,260,0,2,1
528,0,12,0,260,0,1,0
529,0,13,0,260,0,1,0
530,0,15,0,260,0,2,1
531,0,16,0,260,0,2,0
532,0,17,0,260,0,2,0
533,0,18,0,260,0,2,0
534,0,19,0,260,0,2,1
535,0,20,0,260,0,2,0
536,0,21,0,260,0,2,0
537,0,23,0,260,0,3,0
538,0,24,0,260,0,3,0
539,0,25,0,260,0,2,0
469,3,1,0,263,236,3,0
470,3,2,0,263,236,3,0
471,3,3,0,263,236,4,0
472,3,4,0,263,236,4,0
473,3,6,0,263,236,3,0
474,3,7,0,263,236,1,0
475,3,8,0,263,236,1,1
476,3,9,0,263,236,3,1
477,3,10,0,263,236,3,0
478,3,11,0,263,236,3,0
479,3,12,0,263,236,3,0
480,3,13,0,263,236,3,1
481,3,14,0,263,236,3,0
482,3,15,0,263,236,3,1
483,3,16,0,263,236,1,0
484,3,17,0,263,236,1,1
485,3,18,0,263,236,1,1
486,3,19,0,263,236,1,0
487,3,20,0,263,236,1,0
488,3,21,0,263,236,3,0
489,3,22,0,263,236,4,0
490,3,23,0,263,236,4,0
491,3,24,0,263,236,3,1
492,3,25,0,263,236,4,0
540,0,1,0,264,0,1,0
541,0,2,0,264,0,1,1
542,0,3,0,264,0,3,0
543,0,4,0,264,0,2,1
544,0,5,0,264,0,1,1
545,0,6,0,264,0,2,0
546,0,7,0,264,0,2,0
547,0,8,0,264,0,2,0
548,0,9,0,264,0,2,1
549,0,10,0,264,0,3,0
550,0,11,0,264,0,3,1
551,0,12,0,264,0,2,1
552,0,13,1,264,0,2,0
553,0,14,0,264,0,2,0
554,0,15,0,264,0,1,0
555,0,16,0,264,0,2,0
556,0,17,0,264,0,1,0
557,0,18,0,264,0,2,1
558,0,19,0,264,0,2,0
559,0,20,0,264,0,2,0
560,0,21,0,264,0,3,0
561,0,23,1,264,0,2,1
562,0,24,0,264,0,2,0
563,0,25,0,264,0,2,0
564,0,1,0,271,0,2,0
565,0,2,0,271,0,4,0
566,0,3,0,271,0,1,1
567,0,4,0,271,0,2,1
568,0,5,0,271,0,2,0
